StnName,ID_GIS_gag,Dams/Hps,Evidence of reg,station_el,longitude,latitude,Z,xcoord,ycoord,Qmean,Pmean,Gewaesser,Station,Area,Mean_altitude
BE-A051,237,No,0,550.6199951,7.784328967,47.14809793,551.8314362,2626220.095,1221960.232,588.88,1288.03,Langete,Leimiswil,94.488004,734.3493051
BE-A069,243,No,0,498.9100037,7.365607403,47.04587048,500.2371674,2594450.843,1210540.366,371.86,1060.11,Lyssbach,Schüpfen,21.963916,626.6252916
BE-A079,246,No,0,521.5800171,7.181529063,46.8988026,522.0266418,2580408.662,1194220.361,363.24,913.87,Bibere,Gurmels,18.552296,573.5367022
BE-A086,248,No,0,643.5,7.626468301,46.86559335,645.4183044,2614321.831,1190513.128,559.47,1158.12,Chise,Freimettigen,46.84096,834.9682436
BE-A088,250,No,0,435.6300049,7.83820478,47.23508385,437.141922,2630257.178,1231650.262,446.49,1081.56,Rot,Roggwil,56.321584,585.2678867
BE-A089,251,No,0,560.2880249,7.593914448,46.81038333,560.0578003,2611851.778,1184370.109,824.16,1209.03,Rotache,Oppligen,35.03546,902.9811874
BE-A091,252,No,0,622.25,7.83776583,46.69688862,622.7149963,2630527.806,1171818.921,843.64,1306.19,Lombach,Unterseen,43.938636,1444.724788
BE-A097,255,No,0,1019.820007,7.523558487,46.61070246,1021.14212,2606505.609,1162164.017,972.77,1293.77,Fildrich,Diemtigen,76.64182,1702.223891
BE-A098,256,No,0,1110,7.557197488,46.60485235,1112.564575,2609083.62,1161516.997,1129.73,1199.46,Chirel,Diemtigen,19.254128,1800.119498
BE-A099,257,No,0,440.3659973,7.192644752,46.96746118,442.854744,2581279.714,1201850.399,318.11,931.22,Biberen,Kerzers,49.091552,542.3558569
BE-A102,259,No,0,567.7000122,7.515769282,46.78806391,569.8356323,2605889.729,1181880.132,735.19,1216.67,Gürbe,Burgistein,51.039704,1070.107388
BE-A106,260,No,0,748.4500122,7.855427353,46.92869439,748.9459534,2631741.974,1197595.059,832.56,1575.97,Trueb,"trub, Trubschachen",52.553664,1036.661974
BL-4311,319,No,0,281,7.575132285,47.53848779,279.7844696,2610278.275,1265315.578,750.92,993.19,Birsig,Binningen,52.18436,441.9457153
BL-4312,320,No,0,296,7.559335811,47.51294467,295.4542847,2609093.251,1262473.569,780.1,997.56,Marchbach,Oberwil,32.598904,434.0750888
BL-4319,326,No,0,371,7.749188434,47.44998392,371.2170105,2623422.289,1255512.44,579.01,1079.34,Vordere Frenke,"Bubendorf, Talhaus",43.920704,647.2173355
BL-4321,328,No,0,372,7.809842282,47.46397111,371.1150818,2627989.325,1257087.42,812.53,1049.99,Diegterbach,Sissach,31.297948,619.157948
BL-4322,329,No,0,387,7.828700103,47.45823377,385.6693726,2629414.329,1256456.408,852.45,1024.53,Homburgerbach,Thürnen,29.832148,609.853138
AGFG-0346,389,No,0,394,8.176465564,47.39037449,394.2518539,2655708.432,1249100.201,478.7,1029.04,Aabach,Lenzburg,176.91596,563.1095433
SO-4502,391,No,0,415.8999939,7.955838261,47.37754142,417.2951126,2639060.328,1247540.297,309.15,1033.05,Stüsslingerbach,Lostorf,10.211096,574.9580319
