lagtime	NRF_p<1.01178|all	NRF_p=1.01178-2.02643|all	NRF_p=2.02643-3.05127|all	NRF_p=3.05127-4.07883|all	NRF_p=4.07883-5.10117|all	NRF_p>5.10117|all	se_p<1.01178|all	se_p=1.01178-2.02643|all	se_p=2.02643-3.05127|all	se_p=3.05127-4.07883|all	se_p=4.07883-5.10117|all	se_p>5.10117|all
20	0.00168749708482889	0.00687897606468549	0.0129946560492056	0.0106562686655679	0.00772805694379932	0.00998718294375548	0.000230588755571357	0.000447220659933965	0.000796761004246523	0.00125313396247807	0.00174590406302066	0.00273073853845068
22	0.0017005894123928	0.00654067371433763	0.0103326919527134	0.00787685243628112	0.00850993386456401	0.0108583186695635	0.00023094005607128	0.000449090378340666	0.00080197892300847	0.00125999285069877	0.00175656800552066	0.00274629970358773
24	0.00184407608202142	0.00601120878779323	0.00795760036870877	0.00614205149217046	0.00751837773688447	0.0109638539856675	0.00023124586105027	0.000450438517811426	0.000806068266147953	0.00126415607095575	0.00176434977139026	0.00275772049792221
26	0.0015457467713837	0.00518076728891166	0.00652909641563605	0.00500161641343916	0.00546006558402769	0.00747928277502022	0.000231383638287608	0.000451318372350205	0.000809092612941335	0.00126715684043543	0.00177051469002779	0.00276593781028848
28	0.00171652297800321	0.00468162446465524	0.00515203390787275	0.00439723002666477	0.00530832438662517	0.00692598411877628	0.000231459397772674	0.000451953481692996	0.000811645355557137	0.001268712559209	0.00177499673727434	0.00277182459900009
30	0.00152025569407301	0.00397118137693166	0.00402690136940627	0.00352664608048785	0.00503155292914088	0.006588368899086	0.000231470730192256	0.000452375957141437	0.000813566090728927	0.00126959104385435	0.00177808871316893	0.00277605472849995
32	0.00131157967356002	0.00363429750422203	0.00348881901924076	0.00301933857073168	0.00474839445515509	0.00598184422303185	0.000231496019601012	0.000452694178123524	0.000815126712851117	0.00127018203996526	0.00178048995668351	0.00277902304889792
34	0.00130271080471733	0.00344331396135289	0.00323811574045655	0.00349572505066202	0.00578472938732609	0.00640410726365909	0.000231478645857726	0.000452969306109039	0.000816276248902115	0.00127066403656602	0.00178224762168767	0.00278130458284851
36	0.00137109786775844	0.00320908335486031	0.0025989162105855	0.00443669066433338	0.00705749189483964	0.00595725283944567	0.000231490090048245	0.000453324941474882	0.000817312354191557	0.00127119264008725	0.00178383188868833	0.00278310817557747
38	0.00127332988064734	0.00323687669880848	0.00281344688251225	0.00526232670227487	0.00722039191318061	0.00474971649863029	0.000231512634435525	0.000453666718154379	0.000818298795512611	0.00127152484740123	0.00178513302335607	0.00278467139833637
40	0.00119629127545969	0.00327612238674619	0.00342364244215174	0.00573672999992324	0.00774762184575802	0.00479182321114858	0.000231570269485066	0.000453845574246343	0.000819129345247055	0.00127199357392566	0.00178619839359003	0.00278591564882334
42	0.00116404442129869	0.00293591210042351	0.00305158701941187	0.00562088312614781	0.00826706050895576	0.00483985696437773	0.0002315587947608	0.000454344090623018	0.000819830014221297	0.00127224730542509	0.00178722210285178	0.00278705415601734
44	0.000976272571769838	0.00232301381144183	0.00269218233355859	0.00484624440735625	0.00659055820072802	0.00406174106072152	0.000231556668774505	0.000454916648627572	0.000820617991197734	0.00127232869548568	0.00178828774211853	0.00278796087396076
46	0.00112512602209446	0.00236265685449987	0.00351042597716186	0.0056951936377426	0.00544858075607138	0.00267230513320656	0.000231532597563584	0.000455345204627148	0.000821406726459898	0.00127242665181732	0.00178972733334455	0.00278853897265781
48	0.00112439017956498	0.00203537992558062	0.0035850934001247	0.00726273218715657	0.00641021971411151	0.00159181670878345	0.000231535217046086	0.000455603225930079	0.000822102441141592	0.00127257916028787	0.00179086666885528	0.00278872543915834
50	0.00103422012253512	0.00212069304907615	0.003013768072013	0.00622230157745272	0.00674486113631155	0.00178935498010205	0.000231474846568847	0.000455768754284934	0.000822631217945058	0.00127264498588873	0.00179174753927574	0.00278866910492753
52	0.00144864803100019	0.00295490115885512	0.00357219364707533	0.00486982149013738	0.00563034887673929	0.00154979075371266	0.000231405335787533	0.000455923485640839	0.000822927382893838	0.00127269512607325	0.00179253011248297	0.00278849909243172
54	0.00155365697804588	0.00324264294308006	0.00440904505405686	0.00403756901231946	0.00314240982928534	4.1254605093805e-05	0.000231259504204477	0.000456083541058518	0.000823061344671038	0.00127265771906244	0.00179303259238725	0.002788544569745
56	0.00119096312601767	0.00251016226168	0.00315743838100626	0.00253362133145477	0.00176961532277832	-0.000528698570677113	0.000230858642304882	0.000455939950006008	0.000823129267592111	0.001272576264281	0.0017932681290287	0.00278821354574053
58	0.0010798738674811	0.00253554105088137	0.00262381169612666	0.00218121076440108	0.00221159376278228	0.000934965052024776	0.000230147098771186	0.000455598211523001	0.00082312220014052	0.00127260342303548	0.00179333137277053	0.0027872700603934
60	0.00119649797203883	0.00275864778922552	0.0020504324364129	0.00272499267195995	0.00362286655380164	0.00108605016766799	0.000229138130510863	0.000455267053662803	0.000823981357146104	0.00127316514306639	0.00179365491315938	0.00278660271975156
