lagtime	NRF_p<1.01178|all	NRF_p=1.01178-2.02643|all	NRF_p=2.02643-3.05127|all	NRF_p=3.05127-4.07883|all	NRF_p=4.07883-5.10117|all	NRF_p>5.10117|all	se_p<1.01178|all	se_p=1.01178-2.02643|all	se_p=2.02643-3.05127|all	se_p=3.05127-4.07883|all	se_p=4.07883-5.10117|all	se_p>5.10117|all
32	0.00129711694341233	0.00412917848617794	0.00371296596918864	0.00358520817457679	0.00565456109340824	0.00388281385279891	0.000263913114893664	0.000526166477656435	0.000930498888494649	0.00144165283033326	0.00205063867779797	0.00315641122006127
34	0.00128436553627743	0.00395814245934209	0.00342882728855927	0.00381775962557273	0.00661336335530802	0.00466438505061434	0.000263873420898515	0.000526624366321327	0.000931792038152086	0.00144210033990033	0.00205256912041328	0.00315868613764288
36	0.00131621220861204	0.0036743811493035	0.00279420749581479	0.00482853170127937	0.00812201180327445	0.00446685037453385	0.00026387409730121	0.000527208883163151	0.000932870660928572	0.0014426193697743	0.00205415811368396	0.00316057761033404
38	0.0012350224234997	0.00377471583046328	0.00308322783033181	0.00587873104712735	0.00845385463303359	0.0029562369450817	0.000263928091353761	0.000527744292772211	0.000933809347045147	0.00144301248076028	0.00205539381046205	0.00316236829597398
40	0.00116747964796979	0.00378244081461255	0.0037591266569471	0.00651763272172148	0.00906876258754221	0.00302083617976156	0.000264043329478906	0.000528044191816378	0.000934621211135698	0.00144347472186902	0.00205647589489189	0.00316382369253322
42	0.00108599393084384	0.00336512108232339	0.00328680436733287	0.00610320936009638	0.00965588960891841	0.00354654399116191	0.000264028819753132	0.000528773337371387	0.000935391252373125	0.00144372917416717	0.00205738692440387	0.00316519877633133
44	0.000823645879743151	0.00265021591344467	0.0029791791705319	0.00517276938943535	0.00694677151860628	0.00158550193557322	0.000264033315775871	0.000529579500190687	0.000936239012264213	0.00144385432855685	0.00205871777472473	0.00316638042364297
46	0.00106873241283147	0.00264623604067046	0.00387883372061256	0.00612269487581501	0.00563361104547989	0.000661011388440484	0.000263958012046798	0.000530203111677574	0.000937151901293162	0.00144396839278051	0.00206066594003095	0.00316755471680158
48	0.00112228965603553	0.00236041893902814	0.00407587070580274	0.00811726468162664	0.00754516584042785	0.0005077316405886	0.000263941914988273	0.000530658426079246	0.000937893872290035	0.00144415092540674	0.00206240102526688	0.00316819319583031
50	0.000945609934629719	0.00231203333366475	0.00327613413479896	0.00687437868317347	0.00818817304440124	0.000778655851902405	0.000263850293062536	0.000530995892686119	0.00093839103169807	0.00144428969655893	0.00206390757640334	0.00316834275465313
52	0.00144043274558921	0.00324219967683979	0.00383588211672316	0.0054151848000417	0.00708620445805887	-0.000208257498242696	0.000263756631953286	0.000531209017502541	0.000938584953772221	0.00144436581076202	0.00206518690361017	0.00316836941688316
54	0.00158670901311625	0.0035813955005697	0.00481132528579232	0.00464003247664064	0.00428892478206492	-0.00218035872609392	0.000263571315997714	0.000531440237312958	0.000938568216103397	0.00144434401505534	0.00206601749477563	0.00316846110171361
56	0.00116515544999438	0.00270571913213585	0.00340157486796118	0.00311207806258542	0.00277845867662456	-0.00277277158607216	0.000263012487876298	0.000531401989256702	0.000938446156684155	0.00144422482045639	0.0020666610226771	0.00316783225619398
58	0.00103307138356653	0.00279694093808937	0.0029283570857272	0.0028731644220893	0.00330335339674453	-0.000897836794528254	0.000262041844487654	0.000531062923864666	0.000938187023669529	0.00144427519077511	0.00206706039702905	0.00316604873311194
60	0.00121902851414601	0.00311694443578917	0.00228492065605352	0.00336701779260987	0.00463160895555826	-0.000766524915419329	0.00026079499811226	0.000530834275947596	0.000939116667828151	0.00144507713204677	0.00206753686978194	0.00316477319701259
