lagtime	NRF_p<1|all	NRF_p=1-3.5|all	NRF_p=3.5-5.4|all	NRF_p=5.4-7.3|all	NRF_p=7.3-9|all	NRF_p=9-11.5|all	NRF_p>11.5|all	se_p<1|all	se_p=1-3.5|all	se_p=3.5-5.4|all	se_p=5.4-7.3|all	se_p=7.3-9|all	se_p=9-11.5|all	se_p>11.5|all
33	0.00440903440904688	0.0164844778764319	0.0280120242908391	0.0315034841455409	0.0344218119490303	0.0441340994887137	0.0860617781390669	0.000190042673582087	0.000296825736367034	0.000665854015290709	0.00111763865988762	0.00173174552024528	0.00195392222239326	0.00260065472923296
36	0.00440446007728834	0.0152025298271266	0.0252243240111679	0.0289031916381895	0.0306223704948947	0.0408526393556901	0.070827936144177	0.00019016507999127	0.000297054898623455	0.000666651996960968	0.00111952079808484	0.0017351946124187	0.00195772648781821	0.00260451209541272
39	0.00417300386104888	0.0132562482558561	0.0214072131550082	0.0246362825099359	0.0256933321316303	0.0352258651859323	0.0615023234957261	0.000190260041203108	0.000297158865755046	0.000667211737028352	0.00112091913667808	0.00173748769078921	0.00196031509887303	0.00260708164752959
42	0.00413523702044994	0.0120355354023761	0.0187169999760159	0.0211982282245333	0.0208047147179005	0.029670983707664	0.0520841209256679	0.000190316018882714	0.000297219843851689	0.000667615833446714	0.00112184332964949	0.00173914834438326	0.00196192008842368	0.00260904165493123
45	0.00404388185250851	0.0107825455906361	0.016537191189095	0.018463075344456	0.0180099728935859	0.0257867969867722	0.0416551704820924	0.000190359018688463	0.000297289106644987	0.000667889080050866	0.00112248994377155	0.0017402275071619	0.0019630105144663	0.00260969979486827
48	0.00367557939526408	0.00893962561646715	0.0135006844664345	0.015705913613699	0.0162208313497033	0.0221447880240926	0.0380099722487667	0.000190397507288019	0.000297341422715288	0.000668020945726638	0.00112288869711412	0.00174100633542536	0.00196377497447579	0.00260995845443543
51	0.0034745578129045	0.00807702617270728	0.0122845380462281	0.0150068912249859	0.0148639617307179	0.019587643984784	0.0329281074051017	0.000190421657276655	0.00029738544826499	0.000668105262859017	0.00112309579980959	0.00174149005295123	0.00196420483417429	0.00261008525859679
54	0.00302159447931163	0.00718737578445625	0.0108610110849747	0.013155613716045	0.0132075091093494	0.0174007842175609	0.0262051697009153	0.000190439327573169	0.000297406057015041	0.000668137876948362	0.00112326136865474	0.00174181215829486	0.00196440576464184	0.00260998499417307
57	0.00293584896003193	0.00655428798731563	0.00961122765582413	0.0118665122188492	0.0122294417868921	0.0156495970257171	0.0223305061711459	0.000190463254043843	0.00029742307202304	0.000668166512591137	0.00112335705553449	0.00174201886593898	0.00196451100789375	0.00260981298163003
60	0.00263838802663232	0.00576211923452868	0.00871938654608197	0.0102147588503507	0.0100994100483533	0.0132521380665316	0.0177286118984519	0.000190476218173702	0.000297429546754814	0.000668187153424995	0.00112338821908314	0.0017421561425978	0.00196462614838327	0.00260972305065127
