lagtime	NRF_p<2.404|all	NRF_p=2.404-4.813|all	NRF_p=4.813-7.241|all	NRF_p=7.241-9.658|all	NRF_p=9.658-12.493|all	NRF_p>12.493|all	se_p<2.404|all	se_p=2.404-4.813|all	se_p=4.813-7.241|all	se_p=7.241-9.658|all	se_p=9.658-12.493|all	se_p>12.493|all
41	0.0112089252168932	0.0144418526224416	0.00589282886758522	0.00703913884712801	0.0430944573393333	0.0832938891018612	0.00202732058528735	0.00416389821236537	0.00889833065255677	0.0167694072316588	0.0255783333479314	0.0387294817368705
42	0.0114144879268271	0.0133274133640653	0.000677572570758056	0.00938681334583793	0.0488086264472427	0.0737680325457172	0.00202661519095902	0.00416247296582672	0.00889716384900493	0.0167659822670747	0.0255603692895277	0.0387278864185423
43	0.0130418633555189	0.0170136710382757	0.00534312666639886	0.0264141557418571	0.0544044228493766	0.0555029370780646	0.00202547328306465	0.00416259407175776	0.00889575056374024	0.0167642773604798	0.0255475360182834	0.0387259541914029
44	0.00851359431888604	0.00886909619545092	0.00242466343320015	0.0103267551034331	0.0375946374125674	0.0477684991074225	0.00202471315015935	0.00416474035261709	0.00889545636015957	0.0167614290624034	0.0255343316154796	0.0387255407180426
45	0.00790605888571903	0.0094305499078112	0.00866826026068505	-0.00166340487526595	0.0530905187085236	0.0793733198105029	0.0020242116623526	0.00416797915449351	0.0088929761919722	0.0167629672071239	0.0255350711409999	0.0387290750897184
46	0.00619664456202542	0.00691176651650932	0.00567877836130269	-0.000607507614782583	0.0649697991586521	0.0795912037670578	0.00202206489477806	0.00416970964973892	0.00889157443150953	0.0167641189067216	0.0255358346080465	0.0387303236453915
47	0.00529128000758053	0.00408012879676212	-0.00618536322081085	9.91309051320095e-05	0.0480262730214066	0.0501899216504618	0.0020191768429984	0.00417181974139119	0.00888838490923908	0.0167622509739745	0.0255379750963044	0.0387302920243055
48	0.00609847802569528	0.00769985871195988	-0.00824341664100449	-0.00348653654485359	0.0324598033505561	0.0261917072735755	0.00201315878442136	0.00417003674175796	0.00888694223550138	0.0167557695160333	0.0255378775784424	0.0387295484016435
49	0.00684807378515444	0.00915843020437628	-0.00358626697473226	0.00475521196523385	0.0222178034662931	0.0142484490127053	0.00199852527402757	0.00416017582106508	0.00888077528177622	0.0167390905140645	0.0255336351565171	0.0387284228795758
50	0.00685161945156317	0.00681047709356088	-0.00817566938553008	0.000694321874970646	0.0199169773008526	0.00260308514000933	0.00197654156429406	0.00415013245151676	0.00887670128897566	0.0167133087795414	0.0255133976315914	0.0387008204461911
