,,,,,,QUALITY,,,,,RESPONSE VARIABLEN,,Klimaangaben [mm],,,,,,Höhenangaben [m],,,,,Hangneigungsklassen [%],,,,,,,,,,,,,,Abflussakkumulation [no. raster cells],,,,,,,Speichervermoegen [%],,,,,,,Durchlaessigkeit [%],,,,,,Vernaessung [%],,,,,Gruendigkeit [%],,,,,,Bodennutzung [%],,,,,,,,,,,Bodenbedeckung [%],,,,,,,,,Geologie / tektonische Einheiten [%],,,,,,,,,,,,,,,,,,,,,,Geologie / Lithologie [%],,,,,,,,,,,,,,,,,Geologie / Chronostratigraphie [%],,,,,,,,,,,,Maechtigkeit Lockermaterial,,,,Geology CH 1:25000,,,,,,Quaternary Deposits  CH 1:25000,,,,,,,,
173,589,Aabach,"Käpfnach, Horgen",ZUERICH,"12,9",2,2,,,"0,0886","0,1639",6330,"1433,42","835,23","617,90","741,55","477,29","277,27",406,751,608,"1,7457",345,"9,13",1,0,0,0,"67,4181","22,1260","7,5670","2,1650","0,6042","0,1053","0,0137","0,0006","0,0000","1,0251",81082,1215,470,4694,6385,,"0,0000","0,0000","0,0000","11,6926","15,3951","9,6292","30,2535","4,2170","0,0000","32,4999","0,0000","0,0000","20,3434","7,4757","9,6292","15,3951","4,2170","22,4468","0,0000","4,2170","7,4757","25,0243","0,0000","26,1916","0,2417","7,8285","0,0000","82,1600","0,0000","9,5591","0,0000","0,0000","0,0000","0,0000","0,2106",8,0,0,229,0,250,2585,14014,0,0,0,0,0,0,0,0,0,0,0,8800,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0123","63,6339","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","7,3889","0,0000","0,0000","91,6415","0,0000","7,3906","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","7,97","0,87","1,10","4,12","7,15","23,21","55,58","0,0","93,7","6,3","0,0","0,0","0,0","92,6","0,3","0,0","4,6","82,5","4,4","0,2","0,6","0,1"
174,543,Haselbach,Mettmenstetten,ZUERICH,"8,2",2,1,,,"0,3095","0,2587",11431,"1214,16","714,53","520,74","779,72","500,72","292,65",451,676,528,"1,0670",225,"5,77",0,0,0,1,"86,2716","11,5593","1,8207","0,3126","0,0327","0,0031","0,0000","0,0000","0,0000","1,0091",77172,780,318,3193,6939,,"0,0000","0,0000","0,0000","41,5215","37,0159","21,4626","79,9902","0,0000","2,5691","55,9094","41,5215","0,0000","67,7905","41,5215","21,4626","34,4468","2,5691","49,5159","0,0000","0,0000","44,2767","55,7233","0,0000","71,1447","0,0000","8,3687","0,0000","79,4699","0,0000","12,1614","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,0,0,27,681,11768,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000","99,4405","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,5595","0,0000","0,0000","99,4442","0,0000","0,5558","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","3,39","0,67","0,96","4,34","10,45","36,81","43,38","0,0","100,0","0,0","0,0","0,0","0,0","99,7","0,0","0,0","2,7","90,8","6,2","0,0","0,0","0,0"
175,544,Haselbach,Maschwanden,ZUERICH,"18,2",2,1,,,"0,4713","0,4055",12902,"1194,08","702,26","512,49","786,10","504,76","295,19",389,676,492,"1,2269",287,"6,48",0,0,0,1,"80,4516","15,6339","3,3557","0,5032","0,0489","0,0052","0,0015","0,0000","0,0000","1,0122",74600,1694,694,6921,6714,"4,1100","0,0000","0,0000","0,0000","62,2452","28,0349","9,7199","74,5791","0,0000","1,2175","36,5913","62,1912","0,0000","72,1948","69,5032","9,7199","19,5594","1,2175","38,1228","0,0000","0,0000","67,4484","32,5516","0,0000","66,5103","0,0000","8,1779","0,3735","71,1665","0,0000","20,2821","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,289,0,86,1677,20069,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,"0,0028","0,0000","91,9088","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,2535","0,0000","0,0000","100,4426","0,0000","0,3648","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","1,81","0,34","0,48","2,19","5,54","25,09","64,55","0,0","100,0","0,0","0,0","0,0","0,0","99,8","0,1","0,0","12,6","79,6","7,4","0,0","0,0","0,1"
176,574,Jonen,Zwillikon,ZUERICH,"38,1",2,1,,,"0,3467","0,2901",12270,"1239,66","721,56","540,06","763,10","490,64","285,70",459,915,601,"1,5544",456,"8,21",0,0,0,1,"70,7998","20,7177","6,2419","1,8025","0,4147","0,0227","0,0007","0,0000","0,0000","1,0209",71575,1723,694,6945,6754,"1,8781","0,0000","0,0000","0,0000","8,6211","81,4594","8,1712","81,8014","0,0000","21,3273","76,9244","0,0000","0,0000","54,6856","10,6751","8,1712","58,0781","21,3273","71,6403","0,0000","0,0000","29,9485","68,3032","0,0000","72,6117","0,5110","14,7263","0,0000","57,7025","0,2579","26,7716","0,0000","0,0000","0,0000","0,0000","0,0307",0,20,200,0,0,107,900,25581,0,0,0,0,0,0,0,0,0,0,0,6271,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000","93,6848","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","6,2715","0,0000","0,0000","93,7321","0,0000","6,2679","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","10,81","2,23","2,37","6,67","12,10","41,59","24,22","0,0","100,0","0,0","0,0","0,0","0,0","95,1","0,0","0,0","3,5","70,0","12,1","6,0","3,5","0,0"
177,541,Reppisch,Birmensdorf,ZUERICH,"23,7",2,2,,,"0,2523","0,1923",10801,"1228,11","708,32","542,65","751,17","483,68","280,44",466,896,665,"2,9655",431,"15,16",0,0,0,1,"43,9095","26,0683","15,6603","9,9511","4,0801","0,3189","0,0106","0,0013","0,0000","1,0668",61076,2202,872,8714,6082,"2,5738","0,0000","0,0000","0,0000","49,6481","46,3396","2,1324","73,8474","0,0000","4,2740","93,8461","0,0000","0,0000","58,0172","49,6481","2,1324","42,0656","4,2740","49,3014","0,0000","0,0000","63,8039","34,3162","0,0000","65,7353","0,0000","4,7225","0,0000","51,9231","0,7900","40,5914","0,0000","0,0000","0,0000","0,0000","1,9730",7,23,0,16,0,2145,988,43471,0,0,0,0,0,0,0,0,0,0,0,28261,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0073","69,6978","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","28,2610","0,0000","0,0000","71,8913","0,0000","28,2689","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","34,21","2,46","2,70","7,24","10,98","26,76","15,66","0,0","100,0","0,0","0,0","0,0","0,0","82,8","0,0","0,0","3,5","27,7","3,4","28,8","17,4","1,9"
178,572,Reppisch,Dietikon,ZUERICH,"66,4",2,1,,,"0,3924","0,3248",12428,"1170,65","665,60","528,52","759,91","489,15","283,87",385,896,600,"2,0820",512,"10,85",0,0,0,1,"61,3522","21,9065","9,7518","5,0625","1,7848","0,1362","0,0054","0,0006","0,0000","1,0384",54475,2918,1161,11609,6487,"0,8206","0,0000","0,0000","0,0000","26,1123","51,5912","21,1674","81,5683","0,0000","9,1051","89,7092","0,0000","0,0566","57,5242","26,1123","21,1674","42,4862","9,1051","58,0815","0,0000","0,0000","41,6336","57,2374","0,0000","70,7700","0,0000","13,4738","0,0000","49,8391","1,9993","33,9825","0,0000","0,0000","0,0000","0,0000","0,7053",3,118,0,20,0,947,450,35387,0,0,0,0,0,0,0,0,0,0,0,22211,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,2278","77,9366","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","22,2108","0,0000","0,0000","79,3802","0,0000","22,2129","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","26,21","2,05","2,39","7,16","11,53","31,52","19,14","0,0","99,5","0,5","0,0","0,0","0,0","86,2","0,0","0,0","5,3","51,4","2,9","13,5","12,2","0,8"
179,548,Furtbach,Würenlos,ZUERICH,"46,8",2,1,,,"0,4331","0,3889",17016,"1081,61","589,98","520,19","789,45","507,86","295,13",409,865,484,"1,3266",456,"7,05",0,0,1,0,"75,8341","17,3251","4,8389","1,5765","0,3490","0,0664","0,0097","0,0003","0,0000","1,0178",42931,1688,498,4988,6999,"0,9179","0,0000","1,2033","2,7934","30,5103","49,6927","7,8443","71,3928","0,0000","11,5168","64,6100","2,7934","13,1237","58,7312","25,0269","7,8443","47,6560","11,5168","57,4376","1,2033","2,7934","29,3303","58,7169","0,0000","65,9297","5,7988","17,7688","0,0000","46,9521","0,0000","28,7749","0,0000","0,0000","0,0000","0,0000","0,7054",11,1,0,0,0,820,944,29223,9,0,0,338,1999,0,0,0,0,0,864,10962,0,0,0,0,0,0,0,0,0,0,0,"0,9266","0,2841","84,4030","0,0000","0,0770","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","11,0689","0,0000","0,0000","84,8546","0,0000","14,3880","0,6242","0,0000","0,0000","0,0000","0,0000","0,0000","18,23","1,23","1,38","4,20","9,17","23,88","41,90","2,3","33,5","49,6","14,6","0,0","0,0","85,9","0,2","0,0","17,8","37,5","10,4","7,0","12,1","0,8"
180,585,Surb,Niederweningen,ZUERICH,"19,0",2,2,,,"0,3762","0,3461",21860,"1114,46","602,68","543,72","753,05","485,49","280,81",439,866,550,"1,8659",427,"10,35",1,0,0,0,"58,9132","28,8977","8,5537","2,9756","0,5821","0,0662","0,0111","0,0005","0,0000","1,0294",24879,852,322,3219,6924,"1,3118","0,0000","0,1229","7,4954","26,5356","65,7518","0,0944","76,3666","0,0000","11,9645","78,7219","7,4954","1,8182","59,8335","35,3224","0,0944","60,8608","3,7224","58,2458","0,1229","7,4954","43,7296","46,9568","1,6954","68,5213","0,0000","14,9464","0,0000","54,9504","0,0000","30,1032","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,0,0,5,0,27410,0,0,0,169,24,0,0,0,0,0,3807,1831,0,0,0,0,0,0,0,0,0,0,0,"3,0620","0,0000","88,3596","0,0000","1,8913","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","1,9588","0,0000","0,0000","82,5973","0,0000","8,5217","5,0539","0,0000","0,0000","0,0000","0,0000","0,0000",,,,,,,,"10,5","27,9","37,2","24,4","0,0","0,0","84,6","0,1","0,1","19,5","17,1","0,0","24,9","22,9","0,0"
181,511,Mederbach,Marthalen,ZUERICH,"26,0",2,1,,,"0,2436","0,2095",21530,"930,78","498,45","458,66","806,52","520,77","299,68",375,567,437,"0,8942",193,"4,68",0,0,1,0,"88,9463","8,8698","1,7966","0,3297","0,0444","0,0078","0,0031","0,0023","0,0000","1,0077",14058,1186,458,4586,7035,"0,5410","0,0000","0,0000","0,0000","24,1323","65,4607","9,8120","80,4508","0,0000","13,6886","75,4220","0,0000","10,2943","61,0230","56,5143","9,8120","19,3900","13,6886","47,2657","0,0000","0,0000","13,8380","85,5670","0,0000","76,7564","0,0000","6,0795","0,0000","68,4106","1,0020","24,5080","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,36,8,0,691,943,20333,0,0,0,173,669,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,6735","31,2219","0,0000","0,7951","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","97,6378","0,0000","2,3693","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","6,00","1,86","2,05","7,36","10,73","28,98","43,02","0,0","31,8","35,8","32,4","0,0","0,0","97,6","0,2","1,2","22,8","64,6","6,7","1,5","0,0","0,7"
182,576,Geisslibach,"Furtmüli, Schlattingen",ZUERICH,"21,1",2,1,,,"0,5189","0,4636",32881,"911,86","496,95","439,05","797,75","514,71","296,94",413,638,471,"1,0803",225,"5,80",0,0,0,1,"82,9207","12,5106","3,5184","0,8577","0,1753","0,0165","0,0010","0,0000","0,0000","1,0122",13568,1092,455,4485,7016,"0,6439","0,0000","0,0000","0,0000","44,5414","48,7771","6,6815","77,0234","0,0000","5,9232","68,9641","5,5744","19,5383","67,7456","78,7966","6,6815","8,5987","5,9232","35,4121","0,0000","0,0000","29,5786","70,4214","0,0000","74,0843","0,0000","6,3650","0,0000","65,5144","1,1864","26,9341","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,156,0,178,9,25136,0,0,0,0,0,0,0,0,0,0,0,3203,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0207","17,7000","0,0000","0,4712","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","96,7858","0,0000","3,2140","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","4,18","0,30","0,32","1,11","2,40","16,90","74,80","0,0","87,0","13,0","0,0","0,0","0,0","96,8","0,0","0,0","17,5","79,1","0,1","0,1","0,0","0,0"
183,579,Schwarzenbach,Rickenbach,ZUERICH,"15,0",2,1,,,"0,2933","0,2424",15868,"1004,91","548,25","481,66","810,22","522,15","302,15",403,553,454,"0,9670",150,"5,21",1,0,0,0,"86,6577","10,9381","1,9471","0,4180","0,0343","0,0041","0,0006","0,0000","0,0000","1,0086",35002,838,360,3598,7004,"2,3273","0,0000","0,0000","0,0000","0,0000","97,5737","2,4263","83,7377","0,0000","0,0000","100,0000","0,0000","0,0000","60,0000","52,8382","2,4263","44,7355","0,0000","47,9743","0,0000","0,0000","19,5186","80,4814","0,0000","76,0963","0,0000","6,2488","0,0000","75,9862","0,0000","17,7651","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,22,0,172,78,19882,0,0,0,0,0,0,0,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,1114","29,8187","0,1067","0,3981","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,1067","0,0000","0,0000","98,8028","0,0000","1,1972","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","2,83","0,93","0,81","2,42","4,66","35,47","52,88","0,0","100,0","0,0","0,0","0,0","0,0","98,8","0,6","0,8","18,8","77,9","0,5","0,0","0,0","0,1"
184,523,Eulach,"Wülflingen, Winterthur",ZUERICH,"75,0",2,2,,,"0,2116","0,1781",13102,"1138,95","623,52","541,93","784,57","505,33","292,97",411,890,531,"1,4474",480,"7,64",1,0,0,0,"74,4008","17,2169","5,9151","2,0261","0,4072","0,0322","0,0017","0,0000","0,0000","1,0199",37157,2821,1083,10841,6713,"0,4954","0,0000","0,0000","0,0000","25,1729","44,5973","13,1084","67,0548","0,0000","6,7871","72,0873","0,0000","4,0043","49,9715","23,7407","13,1084","39,2424","6,7871","48,7083","0,0000","0,0000","36,1239","46,7548","0,0000","59,0781","4,2068","23,6304","0,0000","42,5814","0,8506","28,7309","0,0000","0,0000","0,0000","0,0000","0,0000",0,23,0,83,0,107,76,30613,0,0,0,0,0,0,0,0,0,0,0,18801,0,0,0,0,0,0,0,0,0,0,0,"0,0025","0,0232","86,9818","5,7010","0,0018","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","6,2679","0,0000","0,0000","70,7321","0,0000","18,8011","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","24,85","2,79","3,24","9,99","12,37","30,63","16,13","0,0","99,7","0,0","0,0","0,0","0,0","80,9","2,3","2,0","14,7","58,2","0,4","3,2","0,1","0,0"
185,522,Eulach,Winterthur,ZUERICH,"65,1",2,2,,,"0,2828","0,2502",14754,"1154,73","632,02","549,32","783,09","504,43","292,38",440,890,541,"1,4819",451,"7,83",1,0,0,0,"73,5202","17,7885","6,0750","2,1353","0,4442","0,0352","0,0016","0,0000","0,0000","1,0207",38527,2121,805,8070,6713,"0,5921","0,0000","0,0000","0,0000","28,4315","48,8142","12,7222","72,3550","0,0000","7,8148","77,5369","0,0000","4,6161","54,2642","26,2767","12,7222","43,1542","7,8148","53,1107","0,0000","0,0000","41,0464","48,9214","0,0000","63,7650","4,2872","18,0018","0,0000","48,2335","0,0000","29,4775","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,96,0,108,88,30219,0,0,0,0,0,0,0,0,0,0,0,18828,0,0,0,0,0,0,0,0,0,0,0,"0,0029","0,0268","86,5366","5,8060","0,0020","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","6,4595","0,0000","0,0000","69,1191","0,0000","18,8264","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
186,521,Eulach,Räterschen,ZUERICH,"31,2",2,1,,,"0,3877","0,3408",16333,"1196,01","654,56","568,19","773,72","498,60","288,75",473,890,579,"1,8308",417,"9,71",1,0,0,0,"64,4468","22,7743","8,6572","3,2857","0,7695","0,0636","0,0030","0,0000","0,0000","1,0290",42724,1354,542,5425,6556,"1,3711","0,0000","0,0000","0,0000","36,8210","57,7349","5,4441","78,1039","0,0000","1,5315","98,3436","0,0000","0,1248","59,7436","36,6897","5,4441","56,3346","1,5315","55,6770","0,0000","0,0000","64,0227","35,9773","0,0000","67,1955","0,0000","6,6140","0,0000","57,6237","0,0000","35,7623","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,61,0,116,163,35522,0,0,0,0,0,0,0,0,0,0,0,25995,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0559","79,7853","8,2235","0,0043","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","9,5883","0,0000","0,0000","48,9327","0,0000","25,9896","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","35,26","3,59","3,97","10,94","12,45","23,81","9,97","0,0","100,0","0,0","0,0","0,0","0,0","73,9","1,5","4,8","25,7","36,7","0,4","4,8","0,1","0,0"
187,575,Näfbach,Neftenbach,ZUERICH,"36,0",2,1,,,"0,3672","0,3118",20060,"1054,37","574,97","506,66","809,01","521,25","301,71",394,608,464,"0,9366",214,"4,99",0,0,1,0,"87,7211","10,0948","1,7664","0,3762","0,0356","0,0051","0,0007","0,0000","0,0000","1,0081",27650,1482,593,5948,7097,"0,7671","0,0000","0,0000","0,0000","26,2181","58,0625","15,5172","81,3813","0,0000","22,6708","76,5024","0,0000","0,6245","55,5943","33,5149","15,5172","28,0949","22,6708","59,8793","0,0000","0,0000","29,9251","69,8726","0,0000","73,8532","0,0000","11,5146","0,0000","65,8510","0,5323","22,1022","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,4,50,0,181,230,22508,0,0,0,0,0,0,0,0,0,0,0,5017,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0655","51,0599","0,7849","0,7327","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,7849","0,0000","0,0000","94,9321","0,0000","5,0176","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","10,32","3,32","3,58","11,18","14,23","42,38","14,99","0,0","100,0","0,0","0,0","0,0","0,0","94,9","1,2","0,1","8,9","81,8","2,2","0,7","0,0","0,1"
188,570,Töss,Freienstein,ZUERICH,"403,4",2,1,,,"0,6177","0,5557",13263,"1288,14","713,70","603,18","757,54","487,96","282,87",356,1314,626,"2,5100",958,"12,74",0,0,0,1,"56,5353","19,6477","11,3722","8,2441","3,5382","0,5587","0,0890","0,0144","0,0003","1,0576",43529,6594,2588,25813,6230,"0,1079","0,0000","0,0000","0,0000","47,0411","38,6277","9,5489","73,0994","0,0000","28,0058","58,7547","4,3018","4,1554","54,0520","30,7787","26,9087","29,9626","7,5677","51,1887","0,0000","0,0000","54,5480","40,6303","0,0394","65,2724","1,2354","11,6327","0,0000","42,0816","0,3717","44,6767","0,0000","0,0000","0,0019","0,0000","0,0000",89,261,3,58,0,127,495,41127,0,0,0,1364,247,0,0,0,0,0,0,38149,0,0,0,0,0,0,0,0,0,0,0,"0,0022","0,0428","60,9498","6,3918","3,1428","0,0000","0,0000","0,0000","0,0000","0,0000","0,0488","0,0000","0,0000","0,0000","10,6884","0,0000","0,0000","60,4502","0,0000","20,0355","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","98,8","1,2","0,0","0,0","0,0","62,9","1,3","1,3","14,4","41,2","0,6","2,8","1,2","0,0"
189,518,Töss,"Wülflingen, Winterthur",ZUERICH,"261,2",2,1,,,"0,4516","0,3694",9978,"1384,22","770,86","642,86","738,42","475,70","275,74",417,1312,691,"3,0734",895,"15,46",0,0,0,1,"46,7607","21,4492","14,2775","11,4011","5,1253","0,8296","0,1344","0,0221","0,0003","1,0772",50185,5390,2127,21209,5954,"0,1921","0,0000","0,0000","0,0000","55,1766","35,5663","7,3205","73,7435","0,0000","38,1598","50,1121","6,6346","3,1569","53,7958","29,4343","34,1333","27,8904","6,6055","51,9485","0,0000","0,0000","64,7535","33,3099","0,0000","65,5000","0,6030","7,9817","0,0000","38,5178","0,2313","52,6635","0,0000","0,0000","0,0026","0,0000","0,0000",132,295,2,49,0,118,690,46908,0,0,0,2085,0,0,0,0,0,0,0,49677,0,0,0,0,0,0,0,0,0,0,0,"0,0020","0,0504","53,8912","7,4004","4,7498","0,0000","0,0000","0,0000","0,0000","0,0000","0,0753","0,0000","0,0000","0,0000","12,4168","0,0000","0,0000","51,5957","0,0000","21,2780","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","54,43","2,67","2,87","8,01","10,45","15,90","5,65","0,0","99,9","0,0","0,0","0,0","0,0","52,4","0,9","1,5","13,8","31,2","0,4","2,8","1,7","0,0"
190,520,Töss,"Rämismühle, Zell",ZUERICH,"126,6",2,1,,,"0,3425","0,2789",7644,"1504,33","839,57","696,63","705,19","454,59","263,24",523,1314,790,"4,4490",791,"21,97",0,0,0,1,"24,2440","23,6982","21,4232","19,5397","9,2189","1,5688","0,2630","0,0436","0,0006","1,1269",59966,3452,1358,13539,5348,"0,4736","0,0000","0,0000","0,0000","73,4587","26,2205","0,3208","71,1437","0,0000","68,7629","24,2794","6,9577","0,0000","47,6390","18,1549","55,6245","22,5682","3,6524","52,9295","0,0000","0,0000","91,0496","8,9504","0,0000","61,7901","0,0000","3,9285","0,0000","31,7259","0,0000","64,3456","0,0000","0,0000","0,0000","0,0000","0,0000",267,285,0,61,0,61,777,54102,0,0,0,4346,0,0,0,0,0,0,0,77291,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,1039","28,9650","3,7442","9,8008","0,0000","0,0000","0,0000","0,0000","0,0000","0,0250","0,0000","0,0000","0,0000","14,0680","0,0000","0,0000","25,7133","0,0000","18,7967","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
191,519,Töss,"Altlandenberg, Bauma",ZUERICH,"66,2",2,2,,,"0,1910","0,1239",5917,"1587,94","894,11","727,96","671,31","432,87","250,55",621,1314,872,"5,2838",693,"25,62",0,0,0,1,"15,9417","20,4377","23,1040","24,9216","12,5586","2,4907","0,4666","0,0782","0,0010","1,1631",65989,2091,816,8170,5099,"0,9968","0,0000","0,0000","0,0000","80,6039","19,3961","0,0000","69,8994","0,0000","85,4667","11,3041","3,2292","0,0000","43,5525","8,7650","71,8389","14,8049","4,5913","53,8056","0,0000","0,0000","96,5897","3,4103","0,0000","60,6821","0,0000","2,5047","0,0000","28,8533","0,0000","68,6421","0,0000","0,0000","0,0000","0,0000","0,0000",486,260,0,21,0,66,656,57532,0,0,0,8313,0,0,0,0,0,0,0,77266,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,1782","16,7861","0,7589","1,7688","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","17,3845","0,0000","0,0000","16,5871","0,0000","18,1382","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","87,25","0,93","0,95","2,47","2,89","4,39","1,13","0,0","100,0","0,0","0,0","0,0","0,0","14,7","0,1","0,0","5,9","3,4","0,4","2,6","2,2","0,0"
192,513,Töss,"Beicher, Steg/Fischenthal",ZUERICH,"11,3",2,1,,,"0,4485","0,3086",5233,"1772,02","1015,13","795,32","629,93","406,79","234,42",753,1314,1026,"6,9578",561,"32,46",0,0,0,1,"5,0209","10,6901","21,1874","38,5987","18,1292","4,9541","1,2419","0,1769","0,0008","1,2411",71932,733,286,2863,4883,,"0,0000","0,0000","0,0000","100,0000","0,0000","0,0000","66,6667","0,0000","100,0000","0,0000","0,0000","0,0000","40,0000","0,0000","100,0000","0,0000","0,0000","50,0000","0,0000","0,0000","100,0000","0,0000","0,0000","60,0000","0,0000","0,0000","0,0000","10,7678","0,0000","89,2322","0,0000","0,0000","0,0000","0,0000","0,0000",760,200,0,121,0,0,126,80498,0,0,0,39983,0,0,0,0,0,0,0,55024,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000","5,0647","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","79,9659","0,0000","0,0000","5,0654","0,0000","79,9679","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","97,41","0,46","0,49","0,95","0,46","0,23","0,00","0,0","100,0","0,0","0,0","0,0","0,0","4,7","0,0","0,0","0,2","0,0","0,0","3,0","1,4","0,0"
193,563,Chatzenbach,Turbenthal,ZUERICH,"5,0",2,2,,,"0,0994","0,0641",9074,"1415,19","773,61","671,07","756,05","487,51","281,96",570,860,675,"3,6953",290,"18,63",1,0,0,0,"37,8341","20,4163","17,5154","15,9391","7,5595","0,7021","0,0323","0,0013","0,0000","1,0973",51587,477,197,1845,5977,,"0,0000","0,0000","0,0000","57,2480","42,7520","0,0000","73,7920","0,0000","66,0155","33,9845","0,0000","0,0000","46,7969","18,7168","38,5312","42,7520","0,0000","56,0088","0,0000","0,0000","100,0000","0,0000","0,0000","60,0000","0,0000","0,0000","0,0000","45,3102","0,0000","54,6898","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,0,0,8,384,54338,0,0,0,0,0,0,0,0,0,0,0,56935,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000","50,9735","0,0000","7,9082","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","21,8066","0,0000","0,0000","0,0150","0,0000","39,8273","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","59,14","1,48","1,71","4,57","5,23","10,05","17,82","0,0","100,0","0,0","0,0","0,0","0,0","50,9","0,0","21,7","3,4","0,0","0,4","25,4","0,0","0,0"
